keyword,suggestions,semantic_match,related
asylum,"['sanity', 'mental illness', 'state of mind', 'schizophrenia', 'mental health', 'psychiatrist']",['psychiatrist'],"['sanity', 'mental illness', 'state of mind', 'schizophrenia', 'mental health', 'psychiatrist']"
enzyme,"['cortisone', 'hormone', 'liver', 'protein', 'grapefruit']","['liver', 'protein', 'grapefruit']","['cortisone', 'hormone', 'liver', 'protein', 'grapefruit']"
recycling,"['cycling', 'sustain']",[],"['cycling', 'sustain']"
walking,"['running', 'mobility', 'hiker', 'jogging', 'treadmill', 'exercise', 'spastic', 'physiotherapist', 'health', 'recovery', 'sunlight']","['hiker', 'physiotherapist', 'sunlight']","['running', 'mobility', 'hiker', 'jogging', 'treadmill', 'exercise', 'spastic', 'physiotherapist', 'health', 'recovery', 'sunlight']"
orange juice,"['diabetes', 'calcium']",['calcium'],"['diabetes', 'calcium']"
prosper,"['prospect', 'prosperity', 'do well']",[],"['prospect', 'prosperity', 'do well']"
nursing,"['caregiver', 'care', 'healthcare', 'illness']",[],"['caregiver', 'care', 'healthcare', 'illness']"
richness,['prosperity'],[],['prosperity']
socialism,"['social security', 'welfare']",['social security'],"['social security', 'welfare']"
organic,"['herbal', 'amino acid', 'nutritious', 'lipid', 'hemp', 'organism', 'granola', 'yoghurt', 'cleanliness', 'vegan', 'turnip', 'flourish', 'chemist', 'soy', 'well-being', 'vitamin', 'growing', 'medication', 'vegetable']","['herbal', 'hemp', 'granola', 'yoghurt', 'vegan', 'turnip', 'chemist', 'medication', 'vegetable']","['herbal', 'amino acid', 'nutritious', 'lipid', 'hemp', 'organism', 'granola', 'yoghurt', 'cleanliness', 'vegan', 'turnip', 'flourish', 'chemist', 'soy', 'well-being', 'vitamin', 'growing', 'medication', 'vegetable']"
salutation,[],[],[]
warmth,"['sunlight', 'contentment', 'soup', 'luxury', 'happiness', 'succor', 'hair', 'sweatpants', 'cyst', 'aura', 'feeling', 'nourish', 'glowing', 'care', 'sauna', 'thermometer', 'body', 'nature']","['sunlight', 'soup', 'hair', 'sweatpants', 'cyst', 'glowing', 'sauna', 'thermometer', 'body']","['sunlight', 'contentment', 'soup', 'luxury', 'happiness', 'succor', 'hair', 'sweatpants', 'cyst', 'aura', 'feeling', 'nourish', 'glowing', 'care', 'sauna', 'thermometer', 'body', 'nature']"
accordion,[],[],[]
ill,"['sickness', 'disease', 'medication', 'coma', 'well', 'flu', 'hospital', 'woozy', 'schizophrenia', 'psychosis', 'infection', 'syndrome', 'diagnose', 'vet', 'remedy', 'health', 'leukemia', 'medical', 'spastic', 'failing']","['medication', 'coma', 'hospital', 'leukemia', 'thyroid', 'measles', 'antibiotic', 'antidote', 'pill', 'doctor']","['sickness', 'disease', 'medication', 'coma', 'well', 'flu', 'hospital', 'woozy', 'schizophrenia', 'psychosis', 'infection', 'syndrome', 'diagnose', 'vet', 'remedy', 'health', 'leukemia', 'medical', 'spastic', 'failing', 'worsen', 'thyroid', 'anemia', 'immune', 'infect', 'measles', 'patient', 'treatment', 'antibiotic', 'insulin', 'recover', 'antidote', 'pill', 'doctor', 'thermometer', 'recovery', 'cortisone', 'hernia', 'worse', 'fate', 'constipation', 'epidemic', 'better', 'mental illness', 'cyst', 'disorder', 'mental health', 'blindness', 'asthma', 'transplant']"
thyroid,"['hormone', 'pituitary', 'soy', 'pill']",['pill'],"['hormone', 'pituitary', 'soy', 'pill']"
leukemia,"['anemia', 'medication']",['medication'],"['anemia', 'medication']"
lipid,"['fatty', 'cholesterol', 'lymph']","['fatty', 'cholesterol']","['fatty', 'cholesterol', 'lymph']"
broccoli,"['vegetable', 'greens', 'artichoke', 'vegetarian', 'asparagus', 'calcium', 'supplement', 'fibre', 'juicer', 'nourishment', 'produce', 'nutritious', 'organic']","['vegetable', 'greens', 'artichoke', 'vegetarian', 'asparagus', 'calcium', 'juicer']","['vegetable', 'greens', 'artichoke', 'vegetarian', 'asparagus', 'calcium', 'supplement', 'fibre', 'juicer', 'nourishment', 'produce', 'nutritious', 'organic']"
steroid,"['cortisone', 'dopamine', 'hormone', 'cholesterol']",['cholesterol'],"['cortisone', 'dopamine', 'hormone', 'cholesterol']"
gluten,"['wheat', 'vegan', 'soy', 'glucose', 'gingerbread']","['wheat', 'vegan', 'gingerbread']","['wheat', 'vegan', 'soy', 'glucose', 'gingerbread']"
fiber,"['bran', 'hemp', 'constipation', 'nutritious', 'supplement', 'granola', 'laxative', 'essential', 'tofu', 'celery', 'heart attack', 'protein', 'broccoli', 'wheat']","['hemp', 'granola', 'laxative', 'tofu', 'celery', 'protein', 'broccoli', 'wheat']","['bran', 'hemp', 'constipation', 'nutritious', 'supplement', 'granola', 'laxative', 'essential', 'tofu', 'celery', 'heart attack', 'protein', 'broccoli', 'wheat']"
honey,"['brown sugar', 'succor', 'yogurt', 'h', 'granola', 'chocolate bar', 'thrive', 'psychosis', 'nourishment', 'coma', 'nourish', 'diabetes', 'environment']","['yogurt', 'granola', 'chocolate bar', 'coma']","['brown sugar', 'succor', 'yogurt', 'h', 'granola', 'chocolate bar', 'thrive', 'psychosis', 'nourishment', 'coma', 'nourish', 'diabetes', 'environment']"
stamina,"['endurance', 'willpower', 'vigor', 'vitality', 'cyclist', 'physique', 'persist', 'constitution', 'runner']","['cyclist', 'physique']","['endurance', 'willpower', 'vigor', 'vitality', 'cyclist', 'physique', 'persist', 'constitution', 'runner']"
vitality,"['life', 'vital', 'vigor', 'health', 'ageless', 'wellbeing', 'alive', 'vitamin', 'blueberry', 'growing']",['blueberry'],"['life', 'vital', 'vigor', 'health', 'ageless', 'wellbeing', 'alive', 'vitamin', 'blueberry', 'growing']"
smoothie,"['blender', 'juicer', 'juice', 'blueberry', 'pomegranate', 'shake', 'fruit']","['blender', 'juicer', 'juice', 'blueberry', 'pomegranate', 'shake', 'fruit']","['blender', 'juicer', 'juice', 'blueberry', 'pomegranate', 'shake', 'fruit']"
massage,"['spa', 'physiotherapist', 'therapy', 'lotion', 'prostate', 'treatment', 'olive oil', 'therapist', 'wellbeing', 'sexual', 'stroke', 'heal', 'anatomy', 'physician', 'yoga', 'luxury']","['spa', 'physiotherapist', 'prostate', 'olive oil', 'physician', 'yoga']","['spa', 'physiotherapist', 'therapy', 'lotion', 'prostate', 'treatment', 'olive oil', 'therapist', 'wellbeing', 'sexual', 'stroke', 'heal', 'anatomy', 'physician', 'yoga', 'luxury']"
creativity,"['improvement', 'vitality']",[],"['improvement', 'vitality']"
gingerbread,"['coma', 'cinnamon']","['coma', 'cinnamon']","['coma', 'cinnamon']"
organs,"['vital', 'anatomy', 'liver', 'colon', 'sexual', 'vitality', 'intestine', 'transplant', 'youth', 'kidney', 'organism']","['liver', 'colon', 'intestine', 'kidney']","['vital', 'anatomy', 'liver', 'colon', 'sexual', 'vitality', 'intestine', 'transplant', 'youth', 'kidney', 'organism']"
herb,"['parsley', 'herbal', 'cinnamon', 'echidna', 'h', 'hemp', 'wellbeing', 'aloe', 'heal', 'herbivore', 'garlic']","['parsley', 'herbal', 'cinnamon', 'echidna', 'hemp', 'herbivore', 'garlic']","['parsley', 'herbal', 'cinnamon', 'echidna', 'h', 'hemp', 'wellbeing', 'aloe', 'heal', 'herbivore', 'garlic']"
sushi,"['kelp', 'soy', 'vegan', 'tofu']","['vegan', 'tofu']","['kelp', 'soy', 'vegan', 'tofu']"
cycling,"['recycling', 'lifestyle', 'dopamine', 'blood pressure', 'training', 'workout']",[],"['recycling', 'lifestyle', 'dopamine', 'blood pressure', 'training', 'workout']"
runner,"['jogger', 'athlete', 'walker', 'cyclist', 'endurance', 'treadmill', 'thin', 'jog', 'run', 'stamina']","['jogger', 'athlete', 'walker', 'cyclist', 'run']","['jogger', 'athlete', 'walker', 'cyclist', 'endurance', 'treadmill', 'thin', 'jog', 'run', 'stamina']"
old age,"['retirement', 'social security', 'constipation', 'ulcer', 'diabetes']","['social security', 'ulcer']","['retirement', 'social security', 'constipation', 'ulcer', 'diabetes']"
bike,"['cycling', 'cyclist', 'exercise', 'mobility', 'artichoke', 'juicer', 'fit', 'calorie', 'jog', 'health', 'fitness']","['cyclist', 'artichoke', 'juicer', 'fitness']","['cycling', 'cyclist', 'exercise', 'mobility', 'artichoke', 'juicer', 'fit', 'calorie', 'jog', 'health', 'fitness']"
granola,"['yoghurt', 'bran', 'hemp', 'fibre', 'vegetarian', 'honey']","['yoghurt', 'hemp', 'vegetarian', 'honey']","['yoghurt', 'bran', 'hemp', 'fibre', 'vegetarian', 'honey']"
swim,"['stroke', 'semen', 'sport', 'nudity', 'refresh', 'infinite', 'jog', 'endurance', 'jogging', 'run', 'tampon', 'lung']","['semen', 'sport', 'run', 'tampon', 'lung']","['stroke', 'semen', 'sport', 'nudity', 'refresh', 'infinite', 'jog', 'endurance', 'jogging', 'run', 'tampon', 'lung']"
maintain,"['persist', 'cope', 'improve', 'recover', 'diagnose', 'provide', 'health']",[],"['persist', 'cope', 'improve', 'recover', 'diagnose', 'provide', 'health']"
cigarette,"['nicotine', 'smoker', 'cigar', 'lung', 'arsenic', 'herbal', 'stroke']","['nicotine', 'smoker', 'cigar', 'lung', 'herbal']","['nicotine', 'smoker', 'cigar', 'lung', 'arsenic', 'herbal', 'stroke']"
mental illness,"['schizophrenia', 'psychosis', 'psychiatry', 'mental health', 'therapy', 'psychiatrist', 'syndrome', 'psychologist', 'depression']","['psychiatry', 'psychiatrist']","['schizophrenia', 'psychosis', 'psychiatry', 'mental health', 'therapy', 'psychiatrist', 'syndrome', 'psychologist', 'depression']"
grapefruit,"['pomegranate', 'tangerine', 'juice', 'fruit']","['pomegranate', 'tangerine', 'juice', 'fruit']","['pomegranate', 'tangerine', 'juice', 'fruit']"
spa,"['sauna', 'treatment', 'luxury', 'spastic', 'heath', 'wellbeing', 'cleansing', 'aesthetics', 'massage', 'wellness', 'refresh', 'therapy', 'yoga', 'medical']","['sauna', 'massage', 'yoga']","['sauna', 'treatment', 'luxury', 'spastic', 'heath', 'wellbeing', 'cleansing', 'aesthetics', 'massage', 'wellness', 'refresh', 'therapy', 'yoga', 'medical']"
constitution,"['vigor', 'physique', 'vitality', 'endurance', 'stamina']",['physique'],"['vigor', 'physique', 'vitality', 'endurance', 'stamina']"
faculty,[],[],[]
sanitation,"['cleanliness', 'hygiene', 'treatment', 'inspector']",['inspector'],"['cleanliness', 'hygiene', 'treatment', 'inspector']"
worsen,['worse'],[],['worse']
